Project #,Request Status,Queue Date,Withdrawn Date,Done Date,Appl In Service Date,Transmission Owner,County,State,County FIPS Code,Study Cycle,Study Group,Study Phase,Service Type,POI Name,Summer MW,Winter MW,Fuel,Generating Facility,Post GIA Status,Negotiated In Service Date,Decision Point 1 ERIS MW,Decision Point 1 NRIS MW,Decision Point 2 ERIS MW,Decision Point 2 NRIS MW
G015,Withdrawn,11/22/99,7/9/03,7/9/03,,Duke Energy Corporation,Lawrence County,IN,18093,,,SPA - SIS,ERIS,Unknown,800,800,Combined Cycle,,Withdrawn,5/1/03,0,0,0,0
G016,Done,12/1/99,,,,LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company,Trimble County,KY,21223,,,,ERIS,Unknown,174,174,Gas,,Not Started,6/1/05,0,0,0,0
G017,Done,12/1/99,,,,LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company,Trimble County,KY,21223,,,,ERIS,Unknown,174,174,Gas,,Not Started,10/1/04,0,0,0,0
G018,Done,12/1/99,,,,LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company,Trimble County,KY,21223,,,,ERIS,Unknown,174,174,Gas,,Not Started,6/1/04,0,0,0,0
G019,Done,12/7/99,,,,LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company,Oldham County,KY,21185,,,,ERIS,Unknown,750,750,Gas,,In Service,6/1/04,0,0,0,0
G020,Done,12/13/99,,,,Northern States Power (Xcel Energy),Dakota County,MN,27037,,,,ERIS,Unknown,147,147,Coal,,In Service,6/1/05,0,0,0,0
G021,Done,12/14/99,,1/1/03,,Ameren Illinois,Williamson County,IL,17199,,,,ERIS,Unknown,142,142,Gas,,In Service,4/1/02,0,0,0,0
G022,Done,12/14/99,,1/1/13,,Ameren Illinois,Williamson County,IL,17199,,,,NRIS,Unknown,71,71,Gas,,In Service,4/2/02,0,0,0,0
G023,Done,12/16/99,,,,ITC Transmission,Wayne County,MI,26163,,,,ERIS,Unknown,710,710,Gas,,In Service,6/1/03,0,0,0,0
Test 1234,Withdrawn,1/1/00,,9/12/18,1/1/10,-- No Company --,Jackson County,TX,48239,125,sss,MTEP,,test line 1 - test line 2 138 kV,0,0,,BS Battery Storage,Not Started,,0,0,0,0
G025,Done,1/5/00,,,,Indianapolis Power & Light Company,Marion County,IN,18097,G025,G025,DPP - SIS,ERIS,Unknown,189,189,Gas,,In Service,6/1/07,0,0,0,0
G026,Done,1/20/00,,,,ITC Transmission,Wayne County,MI,26163,,,,ERIS,Unknown,240,240,Combined Cycle,,In Service,5/1/01,0,0,0,0
G027,Withdrawn,1/25/00,,,,Duke Energy Corporation,Jefferson County,IN,18077,,,,ERIS,Unknown,650,650,,,Not Started,5/1/02,0,0,0,0
G028,Withdrawn,1/25/00,,,,Duke Energy Corporation,Jefferson County,IN,18077,,,,ERIS,Unknown,650,650,,,Not Started,5/1/00,0,0,0,0
G029,Withdrawn,1/31/00,12/30/02,12/30/02,,Duke Energy Corporation,Lawrence County,IN,18093,,,,ERIS,Unknown,500,500,,,Not Started,6/1/02,0,0,0,0
G030,Withdrawn,1/31/00,12/30/02,12/30/02,,Duke Energy Corporation,Switzerland County,IN,18155,,,,ERIS,Unknown,500,500,,,Not Started,6/1/03,0,0,0,0
G207 CONS 37,Withdrawn,2/14/00,,,,"Michigan Electric Transmission Company, LLC",Saginaw County,MI,26145,,,,ERIS,Unknown,560,560,,,Not Started,6/1/02,0,0,0,0
G032,Done,3/1/00,,11/14/03,6/1/08,LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company,Hancock County,KY,21091,,,,ERIS,Cloverport 138  kV Substation,95,95,Hydro,OT Other,In Service,6/1/01,0,0,0,0
G053,Withdrawn,3/20/00,5/21/03,5/21/03,,"Southern Indiana Gas & Electric Company d/b/a Vectren Energy Delivery of Indiana, Inc.",Posey County,IN,18129,,,,ERIS,Unknown,260,260,Gas,,Withdrawn,6/1/03,0,0,0,0
G033,Withdrawn,3/24/00,5/22/03,5/22/03,,ITC Midwest,Monroe County,IA,19135,,,SPA - SIS,ERIS,Unknown,230,230,Steam,,Not Started,6/1/01,0,0,0,0
G034,Done,4/16/00,,2/7/05,,Great River Energy,Swift County,MN,27151,,,SPA - SIS,ERIS,Benson 115 kV Substation S046,55,55,Biomass,Combined Cycle,In Service,6/1/08,0,0,0,0
G035,Done,4/25/00,,,,American Transmission Co. LLC,Rock County,WI,55105,,,Network Upgrade,ERIS,Rock River 138kV Substation,505,505,Gas,,In Service,6/1/03,0,0,0,0
G036,Withdrawn,5/5/00,,,,American Transmission Co. LLC,Wood County,WI,55141,,,Network Upgrade,ERIS,Unknown,600,600,,,Not Started,6/1/07,0,0,0,0
G037,Done,5/12/00,,12/2/03,7/30/10,Northern States Power (Xcel Energy),Murray County,MN,27101,,,Network Upgrade,ERIS,Chanarambie Substation,36,36,Wind,WT Wind Turbine,In Service,6/1/02,0,0,0,0
G038,Done,5/19/00,,,,ITC Transmission,Wayne County,MI,26163,,,,ERIS,Unknown,360,360,Gas,,In Service,,0,0,0,0
G039,Withdrawn,5/23/00,,,,"Hoosier Energy REC, Inc.",Sullivan County,IN,18153,,,,ERIS,Unknown,600,600,Coal,,Not Started,4/1/03,0,0,0,0
G040,Withdrawn,5/30/00,12/17/03,12/17/03,,ITC Midwest,Nobles County,MN,27105,,,,ERIS,Unknown,202,202,Wind,WT Wind Turbine,Withdrawn,5/1/02,0,0,0,0
G041,Done,5/31/00,,,,Northern States Power (Xcel Energy),Pipestone County,MN,27117,,,,ERIS,Unknown,2,2,Wind,WT Wind Turbine,In Service,6/1/04,0,0,0,0
G042,Done,6/21/00,,,,ITC Transmission,St. Clair County,MI,26147,,,,ERIS,Unknown,332,332,Gas,CT Combustion Turbine (Simple Cycle),In Service,6/1/03,0,0,0,0
G043,Done,6/21/00,,,,Northern States Power (Xcel Energy),Ramsey County,MN,27123,G043,G043,Network Upgrade,ERIS,High Bridge Substation,37,37,Biomass,,In Service,6/1/03,0,0,0,0
G044,Done,6/28/00,,,,Wisconsin Electric Power Company,Outagamie County,WI,55087,,,Network Upgrade,ERIS,Point Beach - North Appleton 345kV,600,600,Gas,Combined Cycle,In Service,,0,0,0,0
G045,Withdrawn,7/7/00,12/17/02,12/17/02,,American Transmission Co. LLC,Rock County,WI,55105,,,Network Upgrade,ERIS,Unknown,330,330,,,Withdrawn,,0,0,0,0
IP11,Withdrawn,7/20/00,10/21/04,10/21/04,,Ameren Illinois,Washington County,IL,17189,,,,ERIS,Unknown,500,500,,,Not Started,12/1/06,0,0,0,0
IP12,Withdrawn,7/20/00,10/21/04,10/21/04,,Ameren Illinois,Piatt County,IL,17147,,,,ERIS,Unknown,500,500,,,Not Started,11/1/05,0,0,0,0
G046,Done,7/23/00,,11/24/03,,ITC Midwest,Worth County,IA,19195,G046,G046,Network Upgrade,ERIS,Worth County switching station,200,200,Wind,WT Wind Turbine,In Service,1/1/02,0,0,0,0
G047,Withdrawn,8/3/00,,,,ITC Transmission,Washtenaw County,MI,26161,,,,ERIS,Unknown,340,340,Gas,,Withdrawn,5/1/02,0,0,0,0
G048,Withdrawn,8/11/00,1/13/04,1/13/04,,American Transmission Co. LLC,Fond du Lac County,WI,55039,,,Network Upgrade,ERIS,Unknown,725,725,,,Withdrawn,6/1/06,0,0,0,0
G050,Withdrawn,8/18/00,,,,American Transmission Co. LLC,Portage County,WI,55097,,,,ERIS,Unknown,320,320,,,Not Started,2/28/08,0,0,0,0
G051,Done,8/22/00,,,,Wisconsin Electric Power Company,Milwaukee County,WI,55079,,,Network Upgrade,ERIS,Oak Creek Substation,1300,1300,Coal,Combined Cycle,In Service,1/1/03,0,0,0,0
G052,Withdrawn,8/22/00,,,,American Transmission Co. LLC,Sheboygan County,WI,55117,,,,ERIS,Unknown,1000,1000,,,Not Started,5/1/04,0,0,0,0
G166,Withdrawn,8/22/00,,,,American Transmission Co. LLC,Sheboygan County,WI,55117,,,,ERIS,Unknown,2400,2400,,,Not Started,11/1/07,0,0,0,0
G167,Withdrawn,8/22/00,1/6/04,1/6/04,,American Transmission Co. LLC,Kenosha County,WI,55059,,,,ERIS,Unknown,1200,1200,,,Withdrawn,5/1/08,0,0,0,0
G054,Withdrawn,8/24/00,,,,American Transmission Co. LLC,Waukesha County,WI,55133,,,Network Upgrade,ERIS,Unknown,350,350,,,Not Started,5/1/08,0,0,0,0
G055,Withdrawn,8/30/00,,,,ITC Midwest,Dubuque County,IA,19061,,,,ERIS,Unknown,220,220,,,Not Started,1/1/07,0,0,0,0
G056,Done,9/1/00,,,,ITC Midwest,Hancock County,IA,19081,,,,ERIS,Sioux Avenue Substation,80,80,Wind,WT Wind Turbine,In Service,6/1/04,0,0,0,0
G057,Done,9/8/00,,11/14/03,,Northern States Power (Xcel Energy),Murray County,MN,27101,,,,ERIS,Unknown,80,80,Wind,WT Wind Turbine,In Service,6/22/05,0,0,0,0
G058,Done,9/8/00,,,,Otter Tail Power Company,Grant County,SD,46051,,,,ERIS,Valley Queen 12.5kV,3,3,Diesel,"IC Internal Combustion (diesel, piston) Engine",In Service,4/1/01,0,0,0,0
G059,Done,9/8/00,,3/28/03,4/1/03,Otter Tail Power Company,Beltrami County,MN,27007,,,SPA - SIS,ERIS,Solway CT substation,50,50,Gas,CT Combustion Turbine (Simple Cycle),In Service,,0,0,0,0
G060,Done,9/18/00,,7/30/07,,Northern States Power (Xcel Energy),Murray County,MN,27101,,,SPA - SIS,ERIS,Chanarambie Substation,100,100,Wind,WT Wind Turbine,In Service,2/1/01,0,0,0,0
G061,Withdrawn,9/23/00,,,,Southern Illinois Power Cooperative,Jackson County,IL,17077,,,,ERIS,Unknown,165,165,,,Not Started,5/1/03,0,0,0,0
G062,Withdrawn,10/12/00,10/8/03,10/8/03,,American Transmission Co. LLC,Wood County,WI,55141,,,Network Upgrade,ERIS,Unknown,755,755,,,Withdrawn,6/1/01,0,0,0,0
G063,Withdrawn,10/26/00,3/20/02,3/20/02,,American Transmission Co. LLC,Manitowoc County,WI,55071,,,Network Upgrade,ERIS,Unknown,90,90,,,Withdrawn,6/1/05,0,0,0,0
G064,Done,10/27/00,,,,Duke Energy Corporation,Hamilton County,IN,18057,,,Network Upgrade,ERIS,Noblesville,210,210,Gas,Combined Cycle,In Service,6/1/05,0,0,0,0
G065,Withdrawn,11/2/00,,,,ITC Transmission,St. Clair County,MI,26147,,,,ERIS,Unknown,1050,1050,Gas,,Not Started,6/1/03,0,0,0,0
G066,Withdrawn,11/2/00,,,,ITC Transmission,Monroe County,MI,26115,,,,ERIS,Unknown,800,800,,,Not Started,6/1/03,0,0,0,0
G067,Done,11/9/00,,,,Otter Tail Power Company,Cass County,ND,38017,,,,ERIS,Unknown,2,2,Diesel,,In Service,5/1/04,0,0,0,0
G068,Withdrawn,11/27/00,,,,American Transmission Co. LLC,Racine County,WI,55101,,,SPA - SIS,ERIS,Unknown,800,800,Combined Cycle,,Not Started,10/1/04,0,0,0,0
G069,Done,12/21/00,,,,LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company,Trimble County,KY,21223,,,,ERIS,Unknown,174,174,Gas,,Not Started,10/1/01,0,0,0,0
G070,Withdrawn,12/21/00,,,,LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company,McCracken County,KY,21145,,,,ERIS,Unknown,900,900,,,Not Started,6/1/03,0,0,0,0
G071,Withdrawn,1/9/01,3/17/03,3/17/03,,DEO&K,Greene County,OH,39057,,,,ERIS,Unknown,41,41,,,Not Started,6/1/06,0,0,0,0
G072,Done,1/17/01,,8/2/02,,American Transmission Co. LLC,Rock County,WI,55105,,,Network Upgrade,ERIS,Rock River Substation,150,150,Combined Cycle,Combined Cycle,In Service,1/1/09,0,0,0,0
G073,Done,1/26/01,,1/1/01,,Otter Tail Power Company,Lincoln County,MN,27081,,,,ERIS,Unknown,1,1,Wind,WT Wind Turbine,In Service,6/1/04,0,0,0,0
G216 CONS 90,Withdrawn,1/30/01,,,,"Michigan Electric Transmission Company, LLC",Ionia County,MI,26067,,,,ERIS,Unknown,80,80,,,Not Started,5/1/02,0,0,0,0
G074,Done,1/31/01,,,,-- No Company --,Outagamie County,WI,55087,,,Network Upgrade,ERIS,Unknown,50,50,Combined Cycle,,In Service,3/7/05,0,0,0,0
G075,Withdrawn,1/31/01,2/28/03,2/28/03,,Duke Energy Corporation,Putnam County,IN,18133,,,SPA - SIS,ERIS,Unknown,500,500,,,Withdrawn,5/1/03,0,0,0,0
G076,Withdrawn,2/7/01,,,,American Transmission Co. LLC,Grant County,WI,55043,,,Network Upgrade,ERIS,Unknown,52,52,,,Not Started,10/31/11,0,0,0,0
G077,Withdrawn,2/9/01,,,,ITC Transmission,Washtenaw County,MI,26161,,,,ERIS,Unknown,150,150,,,Not Started,12/31/01,0,0,0,0
G078,Withdrawn,2/12/01,,,,American Transmission Co. LLC,Wood County,WI,55141,,,,ERIS,Unknown,85,85,,,Withdrawn,6/1/02,0,0,0,0
G079,Withdrawn,2/14/01,,,,Duke Energy Corporation,Vermillion County,IN,18165,,,SPA - SIS,ERIS,Unknown,160,160,,,Not Started,5/1/02,0,0,0,0
G080,Withdrawn,2/14/01,,,,Duke Energy Corporation,Vermillion County,IN,18165,,,,ERIS,Unknown,320,320,,,Not Started,6/1/04,0,0,0,0
G081,Done,2/22/01,,2/10/04,,Northern States Power (Xcel Energy),Pipestone County,MN,27117,,,,ERIS,Unknown,1,1,Wind,WT Wind Turbine,Not Started,6/1/03,0,0,0,0
G082,Withdrawn,3/5/01,4/11/03,4/11/03,,DEO&K,Hamilton County,OH,39061,,,,ERIS,Unknown,600,600,,,Not Started,6/1/03,0,0,0,0
G083,Withdrawn,3/5/01,,,,DEO&K,Hamilton County,OH,39061,,,,ERIS,Unknown,800,800,,,Not Started,,0,0,0,0
G084,Done,3/5/01,,2/10/04,,"Hoosier Energy REC, Inc.",Lawrence County,IN,18093,,,SPA - SIS,ERIS,Napoleon - Taswell 161kV,320,320,Gas,CT Combustion Turbine (Simple Cycle),In Service,6/1/05,0,0,0,0
G085,Done,3/5/01,,,,Northern States Power (Xcel Energy),Jackson County,WI,55053,,,,ERIS,Unknown,7,7,,,Not Started,6/1/05,0,0,0,0
G217 CONS 94,Withdrawn,3/6/01,,,,"Michigan Electric Transmission Company, LLC",Livingston County,MI,26093,,,,ERIS,Unknown,510,510,,,Not Started,5/1/02,0,0,0,0
G086,Withdrawn,3/15/01,,,,American Transmission Co. LLC,Brown County,WI,55009,,,,ERIS,Unknown,600,600,,,Not Started,6/1/03,0,0,0,0
G087,Withdrawn,3/22/01,4/14/03,4/14/03,,American Transmission Co. LLC,Grant County,WI,55043,,,SPA - SIS,ERIS,Unknown,200,200,,,Not Started,,0,0,0,0
G088,Withdrawn,3/30/01,,,,Indianapolis Power & Light Company,Shelby County,IN,18145,,,,ERIS,Unknown,350,350,,,Not Started,6/1/07,0,0,0,0
G092,Withdrawn,4/16/01,,,,Lincoln Electric System,Lancaster County,NE,31109,,,,ERIS,Unknown,46,46,,,Not Started,6/1/05,0,0,0,0
G093,Done,4/23/01,,12/14/01,,Wisconsin Electric Power Company,Ozaukee County,WI,55089,,,SPA - SIS,ERIS,Port Washington Substation,200,200,Combined Cycle,Combined Cycle,In Service,6/1/04,0,0,0,0
G094,Withdrawn,5/18/01,4/17/03,4/17/03,,DEO&K,Butler County,OH,39017,,,,ERIS,Unknown,30,30,,,Not Started,6/1/02,0,0,0,0
G095,Withdrawn,6/10/01,5/19/04,5/19/04,,ITC Transmission,Wayne County,MI,26163,,,Network Upgrade,ERIS,Unknown,644,644,Gas,,Withdrawn,6/1/03,0,0,0,0
G096,Done,6/13/01,,11/1/02,3/7/05,Madison Gas and Electric Company,Dane County,WI,55025,,,Network Upgrade,ERIS,Walnut 69 kV substation,105,105,Combined Cycle,Combined Cycle,In Service,9/1/02,0,0,0,0
G097,Withdrawn,6/16/01,7/26/04,7/26/04,,Northern States Power (Xcel Energy),Murray County,MN,27101,,,,ERIS,Unknown,2,2,Wind,WT Wind Turbine,Withdrawn,,0,0,0,0
G098,Withdrawn,6/18/01,,,,DEO&K,Butler County,OH,39017,,,,ERIS,Unknown,165,165,,,Withdrawn,6/1/02,0,0,0,0
G210 CONS 103,Withdrawn,6/18/01,,,,"Michigan Electric Transmission Company, LLC",Saginaw County,MI,26145,,,,ERIS,Unknown,875,875,,,Not Started,5/1/00,0,0,0,0
G099,Withdrawn,6/19/01,,,,Southern Illinois Power Cooperative,Jackson County,IL,17077,,,,ERIS,Unknown,250,250,,,Not Started,,0,0,0,0
G100,Withdrawn,6/20/01,,,,American Transmission Co. LLC,Winnebago County,WI,55139,,,,ERIS,Unknown,530,530,,,Not Started,6/1/03,0,0,0,0
G101,Withdrawn,6/20/01,,,,American Transmission Co. LLC,Outagamie County,WI,55087,,,,ERIS,Unknown,530,530,,,Not Started,6/1/06,0,0,0,0
G102,Withdrawn,6/20/01,,,,American Transmission Co. LLC,Calumet County,WI,55015,,,,ERIS,Unknown,530,530,,,Not Started,6/25/05,0,0,0,0
G103,Done,6/20/01,,1/6/04,,American Transmission Co. LLC,Sheboygan County,WI,55117,G103,G103,Network Upgrade,ERIS,Point Beach - Sheboygan Switching Station,370,370,Wind,WT Wind Turbine,In Service,6/1/04,0,0,0,0
G104,Withdrawn,6/22/01,7/21/04,7/21/04,,Dairyland Power Cooperative,Winnebago County,IA,19189,,,,ERIS,Unknown,118,118,,,Not Started,6/25/05,0,0,0,0
G105,Withdrawn,6/29/01,9/16/03,9/16/03,,ITC Transmission,Wayne County,MI,26163,,,Network Upgrade,ERIS,Unknown,40,40,Coal,,Withdrawn,5/1/03,0,0,0,0
G212 CONS 105,Withdrawn,6/29/01,,,,"Michigan Electric Transmission Company, LLC",Cheboygan County,MI,26031,,,,ERIS,Unknown,200,200,,,Not Started,5/1/02,0,0,0,0
G106,Withdrawn,7/1/01,7/14/03,7/14/03,,ITC Transmission,Wayne County,MI,26163,,,,ERIS,Unknown,520,520,Combined Cycle,,Not Started,6/25/05,0,0,0,0
G108,Withdrawn,7/6/01,5/27/03,5/27/03,,LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company,Henderson County,KY,21101,,,,ERIS,Unknown,1000,1000,,,Not Started,6/1/04,0,0,0,0
IP14,Done,7/17/01,,10/6/04,5/31/10,Ameren Illinois,Washington County,IL,17189,IP14,IP14,Network Upgrade,NRIS,Prairie State,1500,1500,Coal,"ST Steam Turbine (including nuclear, geothermal and solar steam, excluding combined-cycle)",In Service,8/1/06,0,0,0,0
G109,Withdrawn,7/20/01,,,,Northern States Power (Xcel Energy),Faribault County,MN,27043,,,,ERIS,Unknown,50,50,,,Not Started,6/1/04,0,0,0,0
G110,Withdrawn,7/30/01,,,,Montana-Dakota Utilities Company,Bowman County,ND,38011,,,SPA - SIS,ERIS,Unknown,500,500,,,Not Started,6/1/06,0,0,0,0
G226,Done,7/30/01,,12/2/03,,Northern States Power (Xcel Energy),Pipestone County,MN,27117,,,,ERIS,Unknown,9,9,Wind,WT Wind Turbine,Withdrawn,5/1/07,0,0,0,0
G285,Done,7/30/01,,12/2/03,,Northern States Power (Xcel Energy),Pipestone County,MN,27117,,,SPA - SIS,ERIS,Pipestone - Lake Wilson 69kV,9,9,Wind,WT Wind Turbine,In Service,12/1/04,0,0,0,0
G111,Done,8/3/01,,,,Wisconsin Public Service Corporation,Brown County,WI,55009,,,Network Upgrade,ERIS,Unknown,85,85,Coal,,In Service,3/11/11,0,0,0,0
G112,Withdrawn,8/3/01,,,,American Transmission Co. LLC,Marathon County,WI,55073,,,,ERIS,Unknown,85,85,,,Not Started,6/26/05,0,0,0,0
G113,Done,8/8/01,,4/27/05,12/31/06,ITC Midwest,Mower County,MN,27099,G113,G113,Network Upgrade,ERIS,Adams Substation,200,200,Wind,WT Wind Turbine,In Service,6/1/05,0,0,0,0
G114,Withdrawn,8/8/01,,,,American Transmission Co. LLC,Juneau County,WI,55057,,,,ERIS,Unknown,60,60,,,Not Started,6/1/06,0,0,0,0
G115,Withdrawn,8/8/01,,,,American Transmission Co. LLC,Juneau County,WI,55057,,,,ERIS,Unknown,100,100,,,Not Started,6/25/05,0,0,0,0
G116,Withdrawn,8/8/01,,,,Duke Energy Corporation,Knox County,IN,18083,,,,ERIS,Unknown,300,300,,,Not Started,6/24/05,0,0,0,0
G117,Done,8/9/01,,12/19/08,5/1/14,"Minnesota Power (Allete, Inc.)",Douglas County,WI,55031,G117,G117,Network Upgrade,ERIS,Stinson 115 kV Substation,324,324,Combined Cycle,Combined Cycle,Withdrawn,12/1/03,0,0,0,0
G118,Withdrawn,8/14/01,7/10/03,7/10/03,,Otter Tail Power Company,Grant County,SD,46051,,,SPA - SIS,ERIS,Unknown,650,650,,,Not Started,6/24/05,0,0,0,0
G119,Withdrawn,8/16/01,,,,Great River Energy,McLean County,ND,38055,,,,ERIS,Unknown,750,750,,,Not Started,6/1/04,0,0,0,0
G120,Withdrawn,8/16/01,,,,"Minnesota Power (Allete, Inc.)",Itasca County,MN,27061,,,,ERIS,Unknown,225,225,,,Withdrawn,,0,0,0,0
G121,Withdrawn,8/22/01,7/21/04,7/21/04,,Dairyland Power Cooperative,Winnebago County,IA,19189,,,,ERIS,Unknown,6,6,,,Not Started,1/1/08,0,0,0,0
G122,Withdrawn,8/22/01,,,,Indianapolis Power & Light Company,Knox County,IN,18083,,,,ERIS,Unknown,300,300,,,Not Started,5/1/05,0,0,0,0
G123,Withdrawn,9/4/01,3/7/03,3/7/03,,Northern States Power (Xcel Energy),Murray County,MN,27101,,,,ERIS,Unknown,2,2,,,Not Started,9/1/03,0,0,0,0
G124,Withdrawn,9/4/01,3/7/03,3/7/03,,Northern States Power (Xcel Energy),Murray County,MN,27101,,,,ERIS,Unknown,1,1,,,Not Started,6/1/05,0,0,0,0
G125,Withdrawn,9/6/01,,,,ITC Midwest,Clinton County,IA,19045,,,,ERIS,Unknown,325,325,,,Not Started,,0,0,0,0
G126,Withdrawn,9/6/01,,,,ITC Midwest,Des Moines County,IA,19057,,,,ERIS,Unknown,325,325,,,Not Started,,0,0,0,0
G127,Withdrawn,9/6/01,,,,ITC Midwest,Des Moines County,IA,19057,,,,ERIS,Unknown,600,600,,,Not Started,6/1/03,0,0,0,0
G128,Withdrawn,9/6/01,,,,ITC Midwest,Marshall County,IA,19127,,,,ERIS,Unknown,600,600,,,Not Started,6/2/03,0,0,0,0
G129,Withdrawn,9/6/01,,,,ITC Midwest,Wapello County,IA,19179,,,,ERIS,Unknown,600,600,,,Not Started,6/3/07,0,0,0,0
G130,Withdrawn,9/10/01,,,,ITC Midwest,Murray County,MN,27101,,,,ERIS,Unknown,22,22,,,Not Started,6/4/07,0,0,0,0
G131,Withdrawn,9/11/01,,,,American Transmission Co. LLC,Brown County,WI,55009,,,,ERIS,Unknown,500,500,,,Not Started,6/5/07,0,0,0,0
G132,Done,9/17/01,,10/24/05,,Montana-Dakota Utilities Company,Dickey County,ND,38021,G132,G132,Network Upgrade,NRIS,Ellendale Sub 230 kV,180,180,Wind,WT Wind Turbine,In Service,12/1/03,0,0,0,0
G133,Withdrawn,9/18/01,,,,ITC Transmission,Monroe County,MI,26115,,,,ERIS,Unknown,585,585,,,Withdrawn,8/1/02,0,0,0,0
G134,Withdrawn,9/18/01,4/7/03,4/7/03,,ITC Transmission,Washtenaw County,MI,26161,,,,ERIS,Unknown,840,840,,,Not Started,6/1/07,0,0,0,0
G135,Withdrawn,9/19/01,8/2/02,8/2/02,,Northern States Power (Xcel Energy),Chisago County,MN,27025,,,SPA - SIS,ERIS,Unknown,660,660,,,Not Started,6/1/04,0,0,0,0
G136,Withdrawn,9/28/01,,,,Ameren Illinois,Logan County,IL,17107,,,,ERIS,Unknown,91,91,Coal,,Not Started,6/1/04,0,0,0,0
G137,Withdrawn,10/4/01,11/4/02,11/4/02,,ITC Transmission,St. Clair County,MI,26147,,,,ERIS,Unknown,560,560,Gas,,Not Started,6/26/05,0,0,0,0
G138,Withdrawn,10/8/01,,,,American Transmission Co. LLC,Walworth County,WI,55127,,,,ERIS,Unknown,352,352,,,Not Started,6/1/04,0,0,0,0
G139,Withdrawn,10/10/01,,,,American Transmission Co. LLC,Grant County,WI,55043,,,,ERIS,Unknown,250,250,,,Not Started,6/1/04,0,0,0,0
G140,Done,10/15/01,,,,ITC Midwest,Nobles County,MN,27105,,,,ERIS,Unknown,2,2,,,In Service,,0,0,0,0
